Conta,Campanha,Grupo de anúncios,Palavra-chave / Termo,Tipo,Impressões,Cliques,Custo,Conversões,Valor de conversão,Parcela de impressões de pesquisa,Parcela perdida (orçamento),Parcela perdida (classificação)
Adroq Cliente X,Search - Genrico FX,Corretora,corretora kw3,Palavra-chave,5926,512,3101.67,15.54,4133.85,0.338,0.102,0.56
Adroq Cliente X,Search - Genrico FX,Corretora,corretora kw4,Palavra-chave,231,11,106.28,1.07,159.98,0.662,0.455,0
Adroq Cliente X,Search - Genrico FX,Corretora,termo pesquisa Sear0,Termo de pesquisa,1029,114,492.57,3.79,1881.46,,,
Adroq Cliente X,Search - Genrico FX,Corretora,termo pesquisa Sear1,Termo de pesquisa,1528,51,409.08,0.81,131.71,,,
Adroq Cliente X,Search - Genrico FX,Corretora,termo pesquisa Sear2,Termo de pesquisa,310,4,15.86,0.27,42.12,,,
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw1,Palavra-chave,5941,133,1111.02,0.99,728.12,0.708,0.051,0.241
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw2,Palavra-chave,2481,110,1363.65,11.0,2783.6,0.376,0.146,0.478
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw3,Palavra-chave,4140,294,1639.01,19.87,15181.47,0.243,0.37,0.387
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw4,Palavra-chave,7706,485,5668.72,31.25,23695.45,0.815,0.065,0.12
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw5,Palavra-chave,2687,139,241.0,7.73,1779.05,0.203,0.4,0.397
Adroq Cliente X,Search - Genrico FX,Alavancagem,alavancagem kw6,Palavra-chave,3023,64,591.28,1.21,158.07,0.678,0.265,0.057
Adroq Cliente X,Search - Genrico FX,Alavancagem,termo pesquisa Sear0,Termo de pesquisa,1656,100,337.94,2.74,613.75,,,
Adroq Cliente X,Search - Genrico FX,Alavancagem,termo pesquisa Sear1,Termo de pesquisa,1631,13,111.8,0.82,454.68,,,
Adroq Cliente X,Search - Genrico FX,Alavancagem,termo pesquisa Sear2,Termo de pesquisa,957,42,418.44,1.93,849.62,,,
Adroq Cliente X,Search - Genrico FX,Alavancagem,termo pesquisa Sear3,Termo de pesquisa,976,66,589.56,0,0,,,
Adroq Cliente X,Search - Genrico FX,Alavancagem,termo pesquisa Sear4,Termo de pesquisa,1978,32,354.87,2.43,522.42,,,
Adroq Cliente X,PMax - Prop,Asset Group 1,asset group 1 kw1,Palavra-chave,7532,157,474.18,8.77,1223.31,0.368,0.037,0.595
Adroq Cliente X,PMax - Prop,Asset Group 1,asset group 1 kw2,Palavra-chave,5160,375,4767.31,8.54,5698.04,0.662,0.071,0.267
Adroq Cliente X,PMax - Prop,Asset Group 1,asset group 1 kw3,Palavra-chave,2448,213,904.15,24.4,9920.32,0.541,0.495,0
Adroq Cliente X,PMax - Prop,Asset Group 1,asset group 1 kw4,Palavra-chave,3865,88,606.67,5.66,2026.71,0.337,0.159,0.504
Adroq Cliente X,PMax - Prop,Asset Group 1,termo pesquisa PMax0,Termo de pesquisa,89,44,404.92,0,0,,,
Adroq Cliente X,PMax - Prop,Asset Group 1,termo pesquisa PMax1,Termo de pesquisa,87,50,315.47,2.29,259.76,,,
Adroq Cliente X,PMax - Prop,Asset Group 1,termo pesquisa PMax2,Termo de pesquisa,1931,101,502.09,1.6,354.24,,,
Adroq Cliente X,PMax - Prop,Asset Group 1,termo pesquisa PMax3,Termo de pesquisa,1905,100,436.02,6.74,3516.84,,,
Adroq Cliente X,PMax - Prop,Asset Group 2,asset group 2 kw1,Palavra-chave,6851,150,1948.45,10.59,6929.49,0.263,0.029,0.708
Adroq Cliente X,PMax - Prop,Asset Group 2,asset group 2 kw2,Palavra-chave,3203,141,339.13,15.92,9555.83,0.761,0.042,0.197
Adroq Cliente X,PMax - Prop,Asset Group 2,asset group 2 kw3,Palavra-chave,3843,58,712.51,3.32,1188.91,0.587,0.463,0
Adroq Cliente X,PMax - Prop,Asset Group 2,asset group 2 kw4,Palavra-chave,4588,274,558.98,23.73,20153.02,0.878,0.131,0
Adroq Cliente X,PMax - Prop,Asset Group 2,asset group 2 kw5,Palavra-chave,3167,82,442.79,3.29,2312.17,0.403,0.25,0.347
Adroq Cliente X,PMax - Prop,Asset Group 2,termo pesquisa PMax0,Termo de pesquisa,604,45,560.15,0.57,51.06,,,
Adroq Cliente X,PMax - Prop,Asset Group 2,termo pesquisa PMax1,Termo de pesquisa,1085,71,1044.74,1.93,603.06,,,
Adroq Cliente X,PMax - Prop,Asset Group 2,termo pesquisa PMax2,Termo de pesquisa,1398,105,1097.39,5.06,2743.22,,,
Adroq Cliente X,Display - Remkt,Remkt 30d,remkt 30d kw1,Palavra-chave,3725,330,1908.66,33.24,21922.27,0.645,0.202,0.153
Adroq Cliente X,Display - Remkt,Remkt 30d,remkt 30d kw2,Palavra-chave,5894,521,6232.39,3.46,2051.32,0.816,0.215,0
Adroq Cliente X,Display - Remkt,Remkt 30d,remkt 30d kw3,Palavra-chave,1107,18,216.29,1.89,1190.41,0.397,0.121,0.482
Adroq Cliente X,Display - Remkt,Remkt 30d,remkt 30d kw4,Palavra-chave,5001,68,259.55,2.44,202.45,0.455,0.164,0.381
Adroq Cliente X,Display - Remkt,Remkt 30d,remkt 30d kw5,Palavra-chave,5500,162,2198.48,6.58,2450.38,0.201,0.191,0.608
Adroq Cliente X,Display - Remkt,Remkt 30d,termo pesquisa Disp0,Termo de pesquisa,621,65,684.34,0,0,,,
Adroq Cliente X,Display - Remkt,Remkt 30d,termo pesquisa Disp1,Termo de pesquisa,1639,1,3.18,0.02,7.7,,,
Adroq Cliente X,Display - Remkt,Remkt 30d,termo pesquisa Disp2,Termo de pesquisa,856,3,17.69,0.05,28.9,,,
Adroq Cliente X,Display - Remkt,Remkt 30d,termo pesquisa Disp3,Termo de pesquisa,1797,97,389.77,6.29,2454.43,,,
Adroq Cliente X,Display - Remkt,Remkt 30d,termo pesquisa Disp4,Termo de pesquisa,1615,42,477.49,0,0,,,
Adroq Cliente X,Display - Remkt,Remkt 90d,remkt 90d kw1,Palavra-chave,2571,34,406.0,3.66,2175.55,0.714,0.406,0
Adroq Cliente X,Display - Remkt,Remkt 90d,remkt 90d kw2,Palavra-chave,2482,205,2236.72,14.43,10773.18,0.211,0.343,0.446
Adroq Cliente X,Display - Remkt,Remkt 90d,remkt 90d kw3,Palavra-chave,3967,66,133.54,5.17,4481.37,0.464,0.226,0.31
Adroq Cliente X,Display - Remkt,Remkt 90d,remkt 90d kw4,Palavra-chave,1031,62,578.33,5.16,2483.1,0.202,0.399,0.399
Adroq Cliente X,Display - Remkt,Remkt 90d,remkt 90d kw5,Palavra-chave,8440,690,1828.0,45.19,31248.74,0.532,0.405,0.063
Adroq Cliente X,Display - Remkt,Remkt 90d,termo pesquisa Disp0,Termo de pesquisa,530,94,1112.37,0,0,,,
Adroq Cliente X,Display - Remkt,Remkt 90d,termo pesquisa Disp1,Termo de pesquisa,1381,59,496.86,0,0,,,
Adroq Cliente X,Display - Remkt,Remkt 90d,termo pesquisa Disp2,Termo de pesquisa,1031,117,1273.9,6.22,2576.55,,,
Adroq Cliente X,Display - Remkt,Remkt 90d,termo pesquisa Disp3,Termo de pesquisa,208,77,301.57,0,0,,,
